Evidence ID,Entity name,Measurement point,Dataset version,Archive platform folder,Observed platform,Session ID,Original session folder,Capture date,Capture time,Capture timezone,Captured at ISO 8601,Evidence type,Query ID,Query bucket,Query text,Query role,Query group ID,Query attempt number,Capture part number,Capture parts total,Continuation flag,Continuation of Evidence ID,Primary query-set relevance,Review status,Mapping status,Mapping basis,Contamination status,Contamination reason,Analysis inclusion status,Query rewrite observed,Query rewrite text,Archive anomaly,Original filename,Original relative path,File size bytes,Image dimensions pixels,SHA-256,Source file preserved,Reviewer comment,Notes,Duplicate status,Duplicate of Evidence ID,model,logged_in
AM-T0-E001,Alex Matescu,T0,1.0,ChatGPT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,SUPPLEMENTAL-105,NOT_APPLICABLE,NOT_APPLICABLE,setup,REVIEW_REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,REVIEWED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_OBSERVED,NOT_APPLICABLE,ARCHIVE_ONLY_NOT_PRIMARY_ANALYSIS,NO,NOT_APPLICABLE,OTHER,~$BULA RASA.docx,ChatGPT/~$BULA RASA.docx,162,UNKNOWN,da98e4699287e338bee161293f6c5dbb60cffe3dfca39827b47ec1ea6e756fa5,YES,,"Fișier temporar de blocare Word (~$...), generat automat la deschiderea 'TABULA RASA.docx'; nu conține conținut propriu.",UNIQUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
AM-T0-E002,Alex Matescu,T0,1.0,ChatGPT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,SUPPLEMENTAL-106,NOT_APPLICABLE,NOT_APPLICABLE,setup,REVIEW_REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,REVIEWED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_OBSERVED,NOT_APPLICABLE,ARCHIVE_ONLY_NOT_PRIMARY_ANALYSIS,NO,NOT_APPLICABLE,OTHER,~$Tabula_Rasa_F0_rulari.xlsx,ChatGPT/~$Tabula_Rasa_F0_rulari.xlsx,165,UNKNOWN,0cd12de37db3b969cefb6054ebec675acf3e1f34c7313fe6b1a92e3706d9e3aa,YES,,"Fișier temporar de blocare Excel (~$...), generat automat la deschiderea 'Tabula_Rasa_F0_rulari.xlsx'; nu conține conținut propriu.",UNIQUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
AM-T0-E003,Alex Matescu,T0,1.0,ChatGPT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-07-02,UNKNOWN,UNKNOWN,UNKNOWN,log,SUPPLEMENTAL-102,NOT_APPLICABLE,NOT_APPLICABLE,setup,REVIEW_REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,REVIEWED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_OBSERVED,NOT_APPLICABLE,ARCHIVE_ONLY_NOT_PRIMARY_ANALYSIS,NO,NOT_APPLICABLE,NONE,F0_baseline_AlexMatescu (1).docx,ChatGPT/F0_baseline_AlexMatescu (1).docx,29961,UNKNOWN,73daa33086c31cd76c529d877c3c8af5220ec1ff54d3283f5ebc935e65068aa0,YES,,Variantă/draft anterior al 'F0_baseline_AlexMatescu.docx' (aceeași dată de audit menționată în text).,UNIQUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
AM-T0-E004,Alex Matescu,T0,1.0,ChatGPT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-07-02,UNKNOWN,UNKNOWN,UNKNOWN,log,SUPPLEMENTAL-101,NOT_APPLICABLE,NOT_APPLICABLE,setup,REVIEW_REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,REVIEWED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_OBSERVED,NOT_APPLICABLE,ARCHIVE_ONLY_NOT_PRIMARY_ANALYSIS,NO,NOT_APPLICABLE,NONE,F0_baseline_AlexMatescu.docx,ChatGPT/F0_baseline_AlexMatescu.docx,49242,UNKNOWN,fba9384f37ac45692042442ad2f7c493091f64864fde980a0a7456965b3c404d,YES,,"Document de metodologie/protocol al operatorului (definire set de query-uri, rubrică de scor, audit F0 baseline GEO/AEO); nu este o captură de răspuns AI. Data preluată din textul documentului ('Data auditului: 2 iulie 2026').",UNIQUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
AM-T0-E005,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:40,+03:00,2026-07-10T06:40:00+03:00,screenshot,Q01,Identitate,Cine este Alex Matescu?,main_query,AM-T0-CHATGPT-S1-Q01,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.40.02.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.40.02.png,770378,3420x2038,773262b42bcc58754427eef405bbe092bedd281b02d614508aff712859dbe6f4,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
AM-T0-E006,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:40,+03:00,2026-07-10T06:40:00+03:00,screenshot,Q02,Identitate,Ce știi despre Alex Matescu?,main_query,AM-T0-CHATGPT-S1-Q02,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.40.33.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.40.33.png,895224,3420x2038,9421c3274456d5df649878eba00080b11cb3a41743bd218476e15874d741d5f7,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
AM-T0-E007,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:41,+03:00,2026-07-10T06:41:00+03:00,screenshot,Q03,Identitate,Cu ce se ocupă Alex Matescu?,main_query,AM-T0-CHATGPT-S1-Q03,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.41.14.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.41.14.png,858124,3420x2038,2b9fcbb8dbf92a899a167315cad4137d377b9745598cd8ee65fe2b104e4f2d69,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
AM-T0-E008,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:41,+03:00,2026-07-10T06:41:00+03:00,screenshot,Q04,Locație,Alex Matescu Sibiu,main_query,AM-T0-CHATGPT-S1-Q04,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.41.37.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.41.37.png,882455,3420x2038,2c2a52c107479cd9079e11eda45c56bd7505074fd233c6f40eadd605aca47296,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
AM-T0-E009,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:42,+03:00,2026-07-10T06:42:00+03:00,screenshot,Q05,Locație,Cine este Alex Matescu din Sibiu?,main_query,AM-T0-CHATGPT-S1-Q05,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.42.02.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.42.02.png,878364,3420x2038,6cc936bc1f7db36120aecaca2cbf7010edfa6a313550895a95bf6899d5fe53d4,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
AM-T0-E010,Alex Matescu,T0,1.0,ChatGPT,ChatGPT,S1,R1_10 iulie 20206,2026-07-10,06:42,+03:00,2026-07-10T06:42:00+03:00,screenshot,Q06,Disambiguare,Alex Matescu,main_query,AM-T0-CHATGPT-S1-Q06,1,1,1,NO,NOT_APPLICABLE,YES,REVIEWED,CONFIRMED,"text interogare vizibil, identic (mai puțin diacritice) cu query-set.csv; ordine secvențială confirmată vizual Q01→Q14",NONE_OBSERVED,NOT_APPLICABLE,INCLUDE,NO,NOT_APPLICABLE,NONE,Captură de ecran din 2026-07-10 la 06.42.23.png,ChatGPT/R1_10 iulie 20206/Captură de ecran din 2026-07-10 la 06.42.23.png,881194,3420x2038,262db07fa00232ddcbbe9ffeaf54934dd2b1ce3623b411787b28982a2ceb1903,YES,,"Fereastră Incognito, cont ChatGPT neautentificat ('Log in'/'Sign up' vizibile); toate 14 query-uri într-un singur thread continuu.",UNIQUE,NOT_APPLICABLE,UNKNOWN,NO
